session_id,condition_a,condition_b,n_units,n_bins_a,n_bins_b,wj_unsigned,binary_jaccard_top5,type1_gap,tversky_a_weighted,tversky_b_weighted,type3_asymmetry_gap
ses-715093703,drifting_gratings_presentations_2.0,drifting_gratings_presentations_5.0,1778,4000,4000,0.5106786489486694,0.38074011921617984,0.1299385297324896,0.5515014938978072,0.5515014938978072,0.0
ses-715093703,drifting_gratings_presentations_2.0,drifting_gratings_presentations_7.0,1778,4000,4559,0.453389048576355,0.23522006677456936,0.21816898180178562,0.380855319795412,0.380855319795412,0.0
ses-715093703,drifting_gratings_presentations_2.0,flashes_presentations_1.0,1778,4000,300,0.35419222712516785,0.12969107551487413,0.22450115161029371,0.2296044968856029,0.2296044968856029,0.0
ses-715093703,drifting_gratings_presentations_2.0,gabors_presentations_0.0,1778,4000,7290,0.41476815938949585,0.18367775097031364,0.2310904084191822,0.31035093938319747,0.31035093938319747,0.0
ses-715093703,drifting_gratings_presentations_2.0,natural_scenes_presentations_9.0,1778,4000,3840,0.41497495770454407,0.18070524223082557,0.2342697154737185,0.30609712867777383,0.30609712867777383,0.0
ses-715093703,drifting_gratings_presentations_2.0,natural_scenes_presentations_10.0,1778,4000,3840,0.39995014667510986,0.25193961247374885,0.148010534201361,0.40247885754798196,0.40247885754798196,0.0
ses-715093703,drifting_gratings_presentations_2.0,natural_scenes_presentations_13.0,1778,4000,4220,0.4331420063972473,0.17870546539824658,0.2544365409990007,0.3032232744214311,0.3032232744214311,0.0
ses-715093703,drifting_gratings_presentations_2.0,spontaneous_presentations_spontaneous,1778,4000,12365,0.4076681137084961,0.14753098077956794,0.26013713292892815,0.25712766496176637,0.25712766496176637,0.0
ses-715093703,drifting_gratings_presentations_2.0,static_gratings_presentations_8.0,1778,4000,3840,0.45321184396743774,0.2763055842812823,0.17690625968615542,0.4329771610877602,0.4329771610877602,0.0
ses-715093703,drifting_gratings_presentations_2.0,static_gratings_presentations_11.0,1778,4000,3840,0.41184353828430176,0.17344346560099833,0.23840007268330343,0.2956145237251228,0.2956145237251228,0.0
ses-715093703,drifting_gratings_presentations_2.0,static_gratings_presentations_14.0,1778,4000,4320,0.4495449662208557,0.27221479536779036,0.17733017085306535,0.4279384210259786,0.4279384210259786,0.0
ses-715093703,drifting_gratings_presentations_5.0,drifting_gratings_presentations_7.0,1778,4000,4559,0.5397383570671082,0.3642495056003178,0.17548885146679033,0.5339925051906619,0.5339925051906619,0.0
ses-715093703,drifting_gratings_presentations_5.0,flashes_presentations_1.0,1778,4000,300,0.3520597815513611,0.11420974305805351,0.23785003849330758,0.20500582366941814,0.20500582366941814,0.0
ses-715093703,drifting_gratings_presentations_5.0,gabors_presentations_0.0,1778,4000,7290,0.41049087047576904,0.17950632401033345,0.2309845464654356,0.30437534815415,0.30437534815415,0.0
ses-715093703,drifting_gratings_presentations_5.0,natural_scenes_presentations_9.0,1778,4000,3840,0.45288214087486267,0.23556786096967705,0.21731427990518562,0.3813110852281359,0.3813110852281359,0.0
ses-715093703,drifting_gratings_presentations_5.0,natural_scenes_presentations_10.0,1778,4000,3840,0.42756786942481995,0.29436537784004785,0.1332024915847721,0.45484124170760115,0.45484124170760115,0.0
ses-715093703,drifting_gratings_presentations_5.0,natural_scenes_presentations_13.0,1778,4000,4220,0.43436330556869507,0.18902319700139994,0.24534010856729513,0.31794702992859675,0.31794702992859675,0.0
ses-715093703,drifting_gratings_presentations_5.0,spontaneous_presentations_spontaneous,1778,4000,12365,0.42761653661727905,0.17761593452057042,0.2500006020967086,0.30165341570871523,0.30165341570871523,0.0
ses-715093703,drifting_gratings_presentations_5.0,static_gratings_presentations_8.0,1778,4000,3840,0.5072850584983826,0.37537872192234023,0.13190633657604234,0.5458550665923938,0.5458550665923938,0.0
ses-715093703,drifting_gratings_presentations_5.0,static_gratings_presentations_11.0,1778,4000,3840,0.4535868763923645,0.23519109276286984,0.21839578362949466,0.38081733934268497,0.38081733934268497,0.0
ses-715093703,drifting_gratings_presentations_5.0,static_gratings_presentations_14.0,1778,4000,4320,0.4780523478984833,0.33247861806035867,0.1455737298381246,0.4990378285309161,0.4990378285309161,0.0
ses-715093703,drifting_gratings_presentations_7.0,flashes_presentations_1.0,1778,4559,300,0.36118143796920776,0.1141547358770012,0.24702670209220656,0.20491720261305515,0.20491720261305515,0.0
ses-715093703,drifting_gratings_presentations_7.0,gabors_presentations_0.0,1778,4559,7290,0.42048898339271545,0.1991589430616598,0.22133004033105566,0.33216437939940247,0.33216437939940247,0.0
ses-715093703,drifting_gratings_presentations_7.0,natural_scenes_presentations_9.0,1778,4559,3840,0.5107372403144836,0.3260807521195333,0.18465648819495034,0.49179622221096875,0.49179622221096875,0.0
ses-715093703,drifting_gratings_presentations_7.0,natural_scenes_presentations_10.0,1778,4559,3840,0.41421017050743103,0.1244883868258273,0.28972178368160373,0.22141337924748064,0.22141337924748064,0.0
ses-715093703,drifting_gratings_presentations_7.0,natural_scenes_presentations_13.0,1778,4559,4220,0.4581810235977173,0.23291605531795337,0.22526496827976392,0.37782954372816124,0.37782954372816124,0.0
ses-715093703,drifting_gratings_presentations_7.0,spontaneous_presentations_spontaneous,1778,4559,12365,0.44937190413475037,0.20390184423106233,0.24547005990368803,0.3387349977211728,0.3387349977211728,0.0
ses-715093703,drifting_gratings_presentations_7.0,static_gratings_presentations_8.0,1778,4559,3840,0.5158161520957947,0.30184263440682996,0.21397351768896472,0.46371600749480935,0.46371600749480935,0.0
ses-715093703,drifting_gratings_presentations_7.0,static_gratings_presentations_11.0,1778,4559,3840,0.5121963620185852,0.3279869534881766,0.18420940853040862,0.4939611080164076,0.4939611080164076,0.0
ses-715093703,drifting_gratings_presentations_7.0,static_gratings_presentations_14.0,1778,4559,4320,0.45738041400909424,0.2057671905172611,0.2516132234918331,0.3413050083556996,0.3413050083556996,0.0
ses-715093703,flashes_presentations_1.0,gabors_presentations_0.0,1778,300,7290,0.3610740303993225,0.1328911040195059,0.2281829263798166,0.2346052564946574,0.2346052564946574,0.0
ses-715093703,flashes_presentations_1.0,natural_scenes_presentations_9.0,1778,300,3840,0.394991397857666,0.11736996222998684,0.27762143562767916,0.21008254418392666,0.21008254418392666,0.0
ses-715093703,flashes_presentations_1.0,natural_scenes_presentations_10.0,1778,300,3840,0.3760595917701721,0.0803920093557013,0.29566758241447083,0.14882007393528132,0.14882007393528132,0.0
ses-715093703,flashes_presentations_1.0,natural_scenes_presentations_13.0,1778,300,4220,0.37227970361709595,0.1223553149466445,0.24992438867045144,0.21803311895477795,0.21803311895477795,0.0
ses-715093703,flashes_presentations_1.0,spontaneous_presentations_spontaneous,1778,300,12365,0.35959169268608093,0.0933805819329476,0.2662111107531333,0.17081075606421228,0.17081075606421228,0.0
ses-715093703,flashes_presentations_1.0,static_gratings_presentations_8.0,1778,300,3840,0.37289145588874817,0.09848205655955998,0.2744093993291882,0.17930571732415052,0.17930571732415052,0.0
ses-715093703,flashes_presentations_1.0,static_gratings_presentations_11.0,1778,300,3840,0.38753610849380493,0.10832351125329741,0.2792125972405075,0.195472730034942,0.195472730034942,0.0
ses-715093703,flashes_presentations_1.0,static_gratings_presentations_14.0,1778,300,4320,0.37466710805892944,0.09965961060567037,0.2750074974532591,0.18125538056413631,0.18125538056413631,0.0
ses-715093703,gabors_presentations_0.0,natural_scenes_presentations_9.0,1778,7290,3840,0.42988207936286926,0.2207308497732032,0.20915122958966606,0.3616372107155517,0.3616372107155517,0.0
ses-715093703,gabors_presentations_0.0,natural_scenes_presentations_10.0,1778,7290,3840,0.3794373571872711,0.10949110165325243,0.2699462555340187,0.19737175267129184,0.19737175267129184,0.0
ses-715093703,gabors_presentations_0.0,natural_scenes_presentations_13.0,1778,7290,4220,0.4300881624221802,0.19319022945965952,0.23689793296252065,0.3238213399503722,0.3238213399503722,0.0
ses-715093703,gabors_presentations_0.0,spontaneous_presentations_spontaneous,1778,7290,12365,0.4327954649925232,0.2108595342847945,0.22193593070772868,0.34828075150655796,0.34828075150655796,0.0
ses-715093703,gabors_presentations_0.0,static_gratings_presentations_8.0,1778,7290,3840,0.4126673638820648,0.17057411304425146,0.24209325083781336,0.2914366739251532,0.2914366739251532,0.0
ses-715093703,gabors_presentations_0.0,static_gratings_presentations_11.0,1778,7290,3840,0.4345414638519287,0.21444330840015066,0.22009815545177805,0.3531549096065225,0.3531549096065225,0.0
ses-715093703,gabors_presentations_0.0,static_gratings_presentations_14.0,1778,7290,4320,0.4101915657520294,0.16023178783627964,0.24995977791574978,0.2762065123816276,0.2762065123816276,0.0
ses-715093703,natural_scenes_presentations_9.0,natural_scenes_presentations_10.0,1778,3840,3840,0.5072411894798279,0.17355678872025734,0.3336844007595705,0.29577910568693977,0.29577910568693977,0.0
ses-715093703,natural_scenes_presentations_9.0,natural_scenes_presentations_13.0,1778,3840,4220,0.5231292247772217,0.3509265514499012,0.17220267332732048,0.5195346128525852,0.5195346128525852,0.0
ses-715093703,natural_scenes_presentations_9.0,spontaneous_presentations_spontaneous,1778,3840,12365,0.45748046040534973,0.23347439761387948,0.22400606279147026,0.37856383248088316,0.37856383248088316,0.0
ses-715093703,natural_scenes_presentations_9.0,static_gratings_presentations_8.0,1778,3840,3840,0.5256220102310181,0.2873510764867904,0.23827093374422764,0.4464222413531169,0.4464222413531169,0.0
ses-715093703,natural_scenes_presentations_9.0,static_gratings_presentations_11.0,1778,3840,3840,0.5599330067634583,0.3834486382345214,0.17648436852893684,0.5543373677014231,0.5543373677014231,0.0
ses-715093703,natural_scenes_presentations_9.0,static_gratings_presentations_14.0,1778,3840,4320,0.4905121624469757,0.23958161687970309,0.2509305455672726,0.38655238770446143,0.38655238770446143,0.0
ses-715093703,natural_scenes_presentations_10.0,natural_scenes_presentations_13.0,1778,3840,4220,0.4642564058303833,0.16329896907216496,0.30095743675821834,0.28075150655795816,0.28075150655795816,0.0
ses-715093703,natural_scenes_presentations_10.0,spontaneous_presentations_spontaneous,1778,3840,12365,0.39193224906921387,0.12412031337835241,0.2678119356908615,0.22083101230566668,0.22083101230566668,0.0
ses-715093703,natural_scenes_presentations_10.0,static_gratings_presentations_8.0,1778,3840,3840,0.5052838325500488,0.36741424231145425,0.13786959023859457,0.5373854256342736,0.5373854256342736,0.0
ses-715093703,natural_scenes_presentations_10.0,static_gratings_presentations_11.0,1778,3840,3840,0.46772733330726624,0.15139500306113524,0.316332330246131,0.2629766546817238,0.2629766546817238,0.0
ses-715093703,natural_scenes_presentations_10.0,static_gratings_presentations_14.0,1778,3840,4320,0.5292907357215881,0.45169175350572494,0.0775989822158632,0.6222970577809287,0.6222970577809287,0.0
